path,raw_whisper,status
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(59).wav,තිකෙ තෙන්ටු ලෙව්ට් ව�,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(12).wav,නව තින්නවාය කරන් පොසි,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(56).wav,මොතින්වක් අරන් පොතින,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(41).wav,අවැතින්නවාය කරන් පොළ,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(24).wav,ත්තෙක් අත්තු රැයි ඔයා,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(47).wav,ත්ටු ර්යිට් ඔයා දැංින,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(25).wav,චෙගට ඇන්ටුව රයිට ඔයාග,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(47).wav,ඉන්න ඔයාගේ කරන් පොසිෂ,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(51).wav,ඉස්සරහරය අන්න ස්රේද �,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(34).wav,නවැතින් නොවාගේ කරන් ප,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(4).wav,පිටිවසරැන්නස්ට්ලයි,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(75).wav,තිටිවසටයන්න ස්ට්රේ�,Unrecognized_for_backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(23).wav,ටයෙක තොන්තු රැයි ඔයා ද,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(58).wav,ඉස්ස රහටය අන්න ඉනස්ට්,Success_GT_Match
